	auc	binaryaccuracy	precision	recall	seed
0	0.40909090638160706	0.529411792755127	0.0	0.0	42
1	0.6166666746139526	0.7058823704719543	0.5	0.4000000059604645	42
2	0.3928571343421936	0.6470588445663452	0.0	0.0	42
3	0.4615384638309479	0.7058823704719543	0.0	0.0	42
4	0.5166666507720947	0.6470588445663452	0.3333333432674408	0.20000000298023224	42
5	0.8571428656578064	0.7647058963775635	0.4285714328289032	1.0	42
6	0.6166666746139526	0.7058823704719543	0.5	0.4000000059604645	42
7	0.4583333432674408	0.6875	0.0	0.0	42
8	0.5897436141967773	0.75	0.3333333432674408	0.3333333432674408	42
9	0.5833333134651184	0.6875	1.0	0.1666666716337204	42
10	0.4583333432674408	0.6470588445663452	0.0	0.0	135
11	0.4642857015132904	0.7647058963775635	0.0	0.0	135
12	0.5595238208770752	0.7058823704719543	0.25	0.3333333432674408	135
13	0.6833333373069763	0.8235294222831726	0.3333333432674408	0.5	135
14	0.5714285969734192	0.6470588445663452	1.0	0.1428571492433548	135
15	0.575757622718811	0.6470588445663452	0.5	0.3333333432674408	135
16	0.4615384638309479	0.7058823704719543	0.0	0.0	135
17	0.418181836605072	0.5	0.20000000298023224	0.20000000298023224	135
18	0.38461539149284363	0.625	0.0	0.0	135
19	0.5666667222976685	0.625	0.5	0.3333333432674408	135
20	0.5595238208770752	0.7058823704719543	0.25	0.3333333432674408	23
21	0.5214285850524902	0.5882353186607361	0.5	0.1428571492433548	23
22	0.38461539149284363	0.5882353186607361	0.0	0.0	23
23	0.5865384340286255	0.7647058963775635	0.5	0.25	23
24	0.5	0.7647058963775635	0.0	0.0	23
25	0.6212121248245239	0.7058823704719543	0.6666666865348816	0.3333333432674408	23
26	0.523809552192688	0.6470588445663452	0.20000000298023224	0.3333333432674408	23
27	0.6090909242630005	0.6875	0.5	0.4000000059604645	23
28	0.4833333492279053	0.5625	0.3333333432674408	0.1666666716337204	23
29	0.3214285671710968	0.5625	0.0	0.0	23
30	0.575757622718811	0.6470588445663452	0.5	0.3333333432674408	7
31	0.375	0.529411792755127	0.0	0.0	7
32	0.46666666865348816	0.8235294222831726	0.0	0.0	7
33	0.3636363744735718	0.47058823704719543	0.0	0.0	7
34	0.5	0.7647058963775635	0.0	0.0	7
35	0.3928571343421936	0.6470588445663452	0.0	0.0	7
36	0.6904762387275696	0.7058823704719543	0.3333333432674408	0.6666666865348816	7
37	0.6090909242630005	0.6875	0.5	0.4000000059604645	7
38	0.5	0.6875	0.0	0.0	7
39	0.5545454621315002	0.6875	0.5	0.20000000298023224	7
40	0.625	0.6470588445663452	1.0	0.25	49
41	0.5952381491661072	0.7647058963775635	0.3333333432674408	0.3333333432674408	49
42	0.4615384638309479	0.7058823704719543	0.0	0.0	49
43	0.38461539149284363	0.5882353186607361	0.0	0.0	49
44	0.675000011920929	0.7058823704719543	0.5	0.6000000238418579	49
45	0.4469697177410126	0.529411792755127	0.25	0.1666666716337204	49
46	0.45454543828964233	0.5882353186607361	0.0	0.0	49
47	0.6428571343421936	0.75	0.25	0.5	49
48	0.42307692766189575	0.6875	0.0	0.0	49
49	0.38461539149284363	0.625	0.0	0.0	49
50	0.4583333432674408	0.6470588445663452	0.0	0.0	1991
51	0.5428571701049805	0.5882353186607361	0.5	0.2857142984867096	1991
52	0.6309524178504944	0.8235294222831726	0.5	0.3333333432674408	1991
53	0.307692289352417	0.47058823704719543	0.0	0.0	1991
54	0.2788461446762085	0.29411765933036804	0.10000000149011612	0.25	1991
55	0.8333333730697632	0.9411764740943909	1.0	0.6666666865348816	1991
56	0.5378787517547607	0.6470588445663452	0.5	0.1666666716337204	1991
57	0.375	0.5625	0.0	0.0	1991
58	0.4000000059604645	0.75	0.0	0.0	1991
